"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
10215,20200913,"S37000016","45 - 64","","All","d",82,95.5,-14.1
10216,20200913,"S37000016","65 - 74","","All","d",77,80,-3.8
10217,20200913,"S37000016","75 - 84","","All","d",114,89.5,27.4
10218,20200913,"S37000016","85 and over","","All","d",64,72.5,-11.7
10219,20200913,"S37000016","All ages","d","All","d",452,454.5,-0.6
10220,20200913,"S37000016","All ages","d","Female","",226,243,-7
10221,20200913,"S37000016","All ages","d","Male","",226,211.5,6.9
10222,20200913,"S37000017","Under 5","","All","d",7,5.5,27.3
10223,20200913,"S37000017","15 - 44","","All","d",25,37.5,-33.3
10224,20200913,"S37000017","45 - 64","","All","d",39,47,-17
10225,20200913,"S37000017","65 - 74","","All","d",30,26,15.4
10226,20200913,"S37000017","75 - 84","","All","d",30,29.5,1.7
10227,20200913,"S37000017","85 and over","","All","d",25,30.5,-18
10228,20200913,"S37000017","All ages","d","All","d",160,177,-9.6
10229,20200913,"S37000017","All ages","d","Female","",81,97.5,-16.9
10230,20200913,"S37000017","All ages","d","Male","",79,79.5,-0.6
10231,20200913,"S37000018","Under 5","","All","d",8,10.5,-23.8
10232,20200913,"S37000018","15 - 44","","All","d",31,39.5,-21.5
10233,20200913,"S37000018","45 - 64","","All","d",37,30.5,21.3
10234,20200913,"S37000018","65 - 74","","All","d",16,23.5,-31.9
10235,20200913,"S37000018","75 - 84","","All","d",32,30,6.7
10236,20200913,"S37000018","85 and over","","All","d",18,14.5,24.1
10237,20200913,"S37000018","All ages","d","All","d",145,152.5,-4.9
10238,20200913,"S37000018","All ages","d","Female","",77,74,4.1
10239,20200913,"S37000018","All ages","d","Male","",68,78.5,-13.4
10240,20200913,"S37000019","15 - 44","","All","d",27,31,-12.9
10241,20200913,"S37000019","45 - 64","","All","d",39,26.5,47.2
10242,20200913,"S37000019","65 - 74","","All","d",36,23,56.5
10243,20200913,"S37000019","75 - 84","","All","d",39,35.5,9.9
10244,20200913,"S37000019","85 and over","","All","d",19,24,-20.8
10245,20200913,"S37000019","All ages","d","All","d",167,152,9.9
10246,20200913,"S37000019","All ages","d","Female","",89,91,-2.2
10247,20200913,"S37000019","All ages","d","Male","",78,61,27.9
10248,20200913,"S37000020","Under 5","","All","d",11,14.5,-24.1
10249,20200913,"S37000020","15 - 44","","All","d",79,85,-7.1
10250,20200913,"S37000020","45 - 64","","All","d",74,73,1.4
13251,20201129,"S37000009","All ages","d","Female","",95,80.5,18
13252,20201129,"S37000009","All ages","d","Male","",65,79.5,-18.2
13253,20201129,"S37000010","Under 5","","All","d",6,11,-45.5
13254,20201129,"S37000010","15 - 44","","All","d",35,39,-10.3
13255,20201129,"S37000010","45 - 64","","All","d",49,47,4.3
13256,20201129,"S37000010","65 - 74","","All","d",24,29,-17.2
13257,20201129,"S37000010","75 - 84","","All","d",43,38.5,11.7
13258,20201129,"S37000010","85 and over","","All","d",32,24.5,30.6
13259,20201129,"S37000010","All ages","d","All","d",190,194.5,-2.3
13260,20201129,"S37000010","All ages","d","Female","",96,103,-6.8
13261,20201129,"S37000010","All ages","d","Male","",94,91.5,2.7
13262,20201129,"S37000011","15 - 44","","All","d",21,22,-4.5
13263,20201129,"S37000011","45 - 64","","All","d",34,32,6.2
13264,20201129,"S37000011","65 - 74","","All","d",21,20.5,2.4
13265,20201129,"S37000011","75 - 84","","All","d",29,26.5,9.4
13266,20201129,"S37000011","85 and over","","All","d",29,34,-14.7
13267,20201129,"S37000011","All ages","d","All","d",140,144,-2.8
13268,20201129,"S37000011","All ages","d","Female","",74,80.5,-8.1
13269,20201129,"S37000011","All ages","d","Male","",66,63.5,3.9
13270,20201129,"S37000012","Under 5","","All","d",15,32.5,-53.8
13271,20201129,"S37000012","5 - 14","","All","d",10,17,-41.2
13272,20201129,"S37000012","15 - 44","","All","d",224,202.5,10.6
13273,20201129,"S37000012","45 - 64","","All","d",178,175.5,1.4
13274,20201129,"S37000012","65 - 74","","All","d",106,116,-8.6
10251,20200913,"S37000020","65 - 74","","All","d",55,58.5,-6
10252,20200913,"S37000020","75 - 84","","All","d",68,76.5,-11.1
10253,20200913,"S37000020","85 and over","","All","d",59,45,31.1
10254,20200913,"S37000020","All ages","d","All","d",349,360,-3.1
10255,20200913,"S37000020","All ages","d","Female","",188,193.5,-2.8
10256,20200913,"S37000020","All ages","d","Male","",161,166.5,-3.3
10257,20200913,"S37000022","45 - 64","","All","d",7,8.5,-17.6
10258,20200913,"S37000022","65 - 74","","All","d",7,11,-36.4
10259,20200913,"S37000022","75 - 84","","All","d",12,13,-7.7
10260,20200913,"S37000022","All ages","d","All","d",36,56.5,-36.3
10261,20200913,"S37000022","All ages","d","Female","",13,26,-50
10262,20200913,"S37000022","All ages","d","Male","",23,30.5,-24.6
10263,20200913,"S37000024","Under 5","","All","d",7,11,-36.4
10264,20200913,"S37000024","5 - 14","","All","d",6,7.5,-20
10265,20200913,"S37000024","15 - 44","","All","d",67,69.5,-3.6
10266,20200913,"S37000024","45 - 64","","All","d",80,82,-2.4
