"id","date","hb","hb_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","hospital_admissions","hospital_admissions_qf","icu_admissions","icu_admissions_qf","positive_pillar1","positive_pillar2"
3034,20200917,"S08000031","NHS Greater Glasgow and Clyde",74,6971,588.15092301981,48.4290101582802,0,755,63.7001788667274,848,118707,10015.4399109041,3695,88,2.38159675236806,2.62518424092738,1350,2345,NA,":",NA,":",11,77
3035,20200917,"S08000032","NHS Lanarkshire",54,3617,546.407637923742,46.0752915584023,1,365,55.1392833403831,475,63096,9531.69375793099,2070,62,2.9951690821256,2.47231912634612,934,1136,NA,":",NA,":",10,52
3036,20200917,"S92000003","Scotland",254,24012,439.297475301866,27.5887303329674,1,2561,46.8532747896085,3727,514819,9418.56933772411,15935,296,1.85754628176969,1.66424285617975,5215,10720,21,"",1,"",36,260
3037,20200918,"S08000015","NHS Ayrshire and Arran",6,1532,416.315660751651,16.8482839207587,0,175,47.5556400989157,181,32513,8835.29443734884,870,8,0.919540229885057,1.01551480959097,321,549,NA,":",NA,":",1,7
3038,20200918,"S08000016","NHS Borders",4,413,358.38250607428,14.7518222839292,0,39,33.8424158278376,88,10508,9118.36167997223,364,6,1.64835164835165,2.13692125049466,103,261,NA,":",NA,":",1,5
3039,20200918,"S08000017","NHS Dumfries and Galloway",4,352,237.372715624789,12.8127318092926,0,40,26.9741722300897,78,14634,9868.50091037831,325,5,1.53846153846154,0.786275911365261,141,184,NA,":",NA,":",2,3
3040,20200918,"S08000019","NHS Forth Valley",11,1292,422.318831105155,19.9392017781846,0,135,44.1277416402445,176,27687,9050.1095021737,843,11,1.30486358244365,1.02103017372752,412,431,NA,":",NA,":",2,9
3041,20200918,"S08000020","NHS Grampian",22,2063,352.318333191017,12.9792502775169,0,156,26.6416189906925,368,59476,10157.2880198104,1266,22,1.73775671406003,0.806372307994886,398,868,NA,":",NA,":",0,22
3042,20200918,"S08000022","NHS Highland",11,565,176.089260113445,21.8163685096304,0,65,20.2580564732282,251,29447,9177.52290718694,747,12,1.60642570281124,1.23803235391218,355,392,NA,":",NA,":",2,10
3043,20200918,"S08000024","NHS Lothian",48,3883,425.538910015452,30.4660872995868,0,490,53.6992186215739,514,80844,8859.71353110719,1637,51,3.11545510079414,2.15650030807147,577,1060,NA,":",NA,":",5,46
3044,20200918,"S08000025","NHS Orkney",0,20,89.2857142857143,8.92857142857143,0,1,4.46428571428571,11,1656,7392.85714285714,29,0,0,0.617283950617284,28,1,NA,":",NA,":",0,0
3045,20200918,"S08000026","NHS Shetland",0,60,262.352426759948,13.1176213379974,0,5,21.8627022299956,21,2609,11407.9580236117,43,0,0,0.495867768595041,29,14,NA,":",NA,":",0,0
3046,20200918,"S08000028","NHS Western Isles",0,10,37.7358490566038,3.77358490566038,0,0,0,16,1938,7313.20754716981,26,0,0,0.225733634311512,17,9,NA,":",NA,":",0,0
3047,20200918,"S08000029","NHS Fife",25,1117,298.55932429904,17.6409269505252,0,126,33.6781332691845,241,32227,8613.85080052388,802,25,3.11720698254364,1.05895369053264,255,547,NA,":",NA,":",1,24
3048,20200918,"S08000030","NHS Tayside",13,2261,542.791981754891,13.6838314728124,0,209,50.1740487336454,234,41656,10000.2400672188,1254,13,1.03668261562998,0.824062628759786,764,490,NA,":",NA,":",1,12
3049,20200918,"S08000031","NHS Greater Glasgow and Clyde",81,7052,594.984981944585,47.8384124734231,2,757,63.8689210624009,876,119583,10089.3489926091,3202,95,2.96689569019363,2.61577526097296,1193,2009,NA,":",NA,":",11,84
3050,20200918,"S08000032","NHS Lanarkshire",44,3661,553.054565230527,43.6582270832074,0,365,55.1392833403831,403,63499,9592.57356939996,1589,53,3.33543108873505,2.45337048216082,758,831,NA,":",NA,":",4,49
