id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
257,20200112,S08000031,,45 - 64,,All,d,All,d,1111,1098.5,1.1
258,20200112,S08000031,,65 - 74,,All,d,All,d,663,716,-7.4
259,20200112,S08000031,,75 - 84,,All,d,All,d,695,734.5,-5.4
260,20200112,S08000031,,85 and over,,All,d,All,d,415,418.5,-0.8
261,20200112,S08000031,,All ages,d,All,d,All,d,4139,4204,-1.5
262,20200112,S08000031,,All ages,d,Female,,All,d,2069,2070,0
263,20200112,S08000031,,All ages,d,Male,,All,d,2057,2127,-3.3
264,20200112,S08000032,,Under 5,,All,d,All,d,126,180.5,-30.2
265,20200112,S08000032,,5 - 14,,All,d,All,d,23,67.5,-65.9
266,20200112,S08000032,,15 - 44,,All,d,All,d,332,338.5,-1.9
267,20200112,S08000032,,45 - 64,,All,d,All,d,492,461,6.7
268,20200112,S08000032,,65 - 74,,All,d,All,d,280,295,-5.1
269,20200112,S08000032,,75 - 84,,All,d,All,d,318,289,10
270,20200112,S08000032,,85 and over,,All,d,All,d,151,156.5,-3.5
271,20200112,S08000032,,All ages,d,All,d,All,d,1722,1788,-3.7
272,20200112,S08000032,,All ages,d,Female,,All,d,856,892.5,-4.1
273,20200112,S08000032,,All ages,d,Male,,All,d,843,887.5,-5
274,20200112,S92000003,d,Under 5,,All,d,All,d,1003,1173.5,-14.5
275,20200112,S92000003,d,5 - 14,,All,d,All,d,579,604.5,-4.2
276,20200112,S92000003,d,15 - 44,,All,d,All,d,2866,2836,1.1
277,20200112,S92000003,d,45 - 64,,All,d,All,d,3829,3868,-1
278,20200112,S92000003,d,65 - 74,,All,d,All,d,2564,2727,-6
279,20200112,S92000003,d,75 - 84,,All,d,All,d,2775,2921.5,-5
280,20200112,S92000003,d,85 and over,,All,d,All,d,1692,1746,-3.1
281,20200112,S92000003,d,All ages,d,All,d,All,d,15308,15876.5,-3.6
282,20200112,S92000003,d,All ages,d,Female,,All,d,7709,7828,-1.5
283,20200112,S92000003,d,All ages,d,Male,,All,d,7518,7977.5,-5.8
284,20200119,S08000015,,Under 5,,All,d,All,d,68,109,-37.6
285,20200119,S08000015,,5 - 14,,All,d,All,d,31,49.5,-37.4
286,20200119,S08000015,,15 - 44,,All,d,All,d,174,214,-18.7
287,20200119,S08000015,,45 - 64,,All,d,All,d,273,319,-14.4
288,20200119,S08000015,,65 - 74,,All,d,All,d,200,183.5,9
289,20200119,S08000015,,75 - 84,,All,d,All,d,210,208.5,0.7
290,20200119,S08000015,,85 and over,,All,d,All,d,99,123,-19.5
291,20200119,S08000015,,All ages,d,All,d,All,d,1055,1206.5,-12.6
292,20200119,S08000015,,All ages,d,Female,,All,d,557,589.5,-5.5
293,20200119,S08000015,,All ages,d,Male,,All,d,496,615,-19.3
294,20200119,S08000016,,Under 5,,All,d,All,d,16,21,-23.8
295,20200119,S08000016,,5 - 14,,All,d,All,d,9,10,-10
296,20200119,S08000016,,15 - 44,,All,d,All,d,18,25,-28
297,20200119,S08000016,,45 - 64,,All,d,All,d,62,44.5,39.3
298,20200119,S08000016,,65 - 74,,All,d,All,d,41,41.5,-1.2
299,20200119,S08000016,,75 - 84,,All,d,All,d,52,50.5,3
300,20200119,S08000016,,85 and over,,All,d,All,d,42,51,-17.6
301,20200119,S08000016,,All ages,d,All,d,All,d,240,243.5,-1.4
302,20200119,S08000016,,All ages,d,Female,,All,d,136,128,6.2
303,20200119,S08000016,,All ages,d,Male,,All,d,101,115.5,-12.6
304,20200119,S08000017,,Under 5,,All,d,All,d,26,41.5,-37.3
305,20200119,S08000017,,5 - 14,,All,d,All,d,22,24,-8.3
306,20200119,S08000017,,15 - 44,,All,d,All,d,61,62.5,-2.4
307,20200119,S08000017,,45 - 64,,All,d,All,d,80,83,-3.6
308,20200119,S08000017,,65 - 74,,All,d,All,d,69,84.5,-18.3
309,20200119,S08000017,,75 - 84,,All,d,All,d,101,99.5,1.5
310,20200119,S08000017,,85 and over,,All,d,All,d,62,51,21.6
311,20200119,S08000017,,All ages,d,All,d,All,d,421,446,-5.6
312,20200119,S08000017,,All ages,d,Female,,All,d,215,218.5,-1.6
313,20200119,S08000017,,All ages,d,Male,,All,d,204,227.5,-10.3
314,20200119,S08000019,,Under 5,,All,d,All,d,48,103.5,-53.6
315,20200119,S08000019,,5 - 14,,All,d,All,d,21,55,-61.8
316,20200119,S08000019,,15 - 44,,All,d,All,d,178,242,-26.4
317,20200119,S08000019,,45 - 64,,All,d,All,d,190,291,-34.7
318,20200119,S08000019,,65 - 74,,All,d,All,d,99,215.5,-54.1
319,20200119,S08000019,,75 - 84,,All,d,All,d,160,220,-27.3
320,20200119,S08000019,,85 and over,,All,d,All,d,94,162.5,-42.2
321,20200119,S08000019,,All ages,d,All,d,All,d,790,1289.5,-38.7
322,20200119,S08000019,,All ages,d,Female,,All,d,389,655,-40.6
323,20200119,S08000019,,All ages,d,Male,,All,d,401,630.5,-36.4
324,20200119,S08000020,,Under 5,,All,d,All,d,90,99,-9.1
325,20200119,S08000020,,5 - 14,,All,d,All,d,64,59.5,7.6
326,20200119,S08000020,,15 - 44,,All,d,All,d,230,231.5,-0.6
327,20200119,S08000020,,45 - 64,,All,d,All,d,317,304.5,4.1
328,20200119,S08000020,,65 - 74,,All,d,All,d,230,243.5,-5.5
329,20200119,S08000020,,75 - 84,,All,d,All,d,251,242,3.7
330,20200119,S08000020,,85 and over,,All,d,All,d,173,176,-1.7
331,20200119,S08000020,,All ages,d,All,d,All,d,1355,1356,-0.1
332,20200119,S08000020,,All ages,d,Female,,All,d,675,669.5,0.8
333,20200119,S08000020,,All ages,d,Male,,All,d,672,680,-1.2
334,20200119,S08000022,,Under 5,,All,d,All,d,34,65,-47.7
335,20200119,S08000022,,5 - 14,,All,d,All,d,21,25,-16
336,20200119,S08000022,,15 - 44,,All,d,All,d,160,135,18.5
337,20200119,S08000022,,45 - 64,,All,d,All,d,184,182,1.1
338,20200119,S08000022,,65 - 74,,All,d,All,d,142,150,-5.3
339,20200119,S08000022,,75 - 84,,All,d,All,d,147,147,0
340,20200119,S08000022,,85 and over,,All,d,All,d,76,90,-15.6
341,20200119,S08000022,,All ages,d,All,d,All,d,764,794,-3.8
342,20200119,S08000022,,All ages,d,Female,,All,d,400,399,0.3
343,20200119,S08000022,,All ages,d,Male,,All,d,358,387,-7.5
344,20200119,S08000024,,Under 5,,All,d,All,d,151,143.5,5.2
345,20200119,S08000024,,5 - 14,,All,d,All,d,85,81,4.9
346,20200119,S08000024,,15 - 44,,All,d,All,d,509,400,27.3
347,20200119,S08000024,,45 - 64,,All,d,All,d,601,542,10.9
348,20200119,S08000024,,65 - 74,,All,d,All,d,401,348,15.2
349,20200119,S08000024,,75 - 84,,All,d,All,d,406,330,23
350,20200119,S08000024,,85 and over,,All,d,All,d,256,219.5,16.6
351,20200119,S08000024,,All ages,d,All,d,All,d,2409,2064,16.7
352,20200119,S08000024,,All ages,d,Female,,All,d,1184,1033.5,14.6
353,20200119,S08000024,,All ages,d,Male,,All,d,1200,1012.5,18.5
354,20200119,S08000025,,15 - 44,,All,d,All,d,12,5.5,118.2
355,20200119,S08000025,,45 - 64,,All,d,All,d,13,12,8.3
356,20200119,S08000025,,65 - 74,,All,d,All,d,5,8.5,-41.2
357,20200119,S08000025,,75 - 84,,All,d,All,d,10,11.5,-13
358,20200119,S08000025,,85 and over,,All,d,All,d,5,5,0
359,20200119,S08000025,,All ages,d,All,d,All,d,47,43.5,8
360,20200119,S08000025,,All ages,d,Female,,All,d,23,19.5,17.9
361,20200119,S08000025,,All ages,d,Male,,All,d,24,23.5,2.1
362,20200119,S08000026,,15 - 44,,All,d,All,d,6,10,-40
363,20200119,S08000026,,45 - 64,,All,d,All,d,7,11,-36.4
364,20200119,S08000026,,75 - 84,,All,d,All,d,7,11,-36.4
365,20200119,S08000026,,All ages,d,All,d,All,d,28,49,-42.9
366,20200119,S08000026,,All ages,d,Female,,All,d,10,24.5,-59.2
367,20200119,S08000026,,All ages,d,Male,,All,d,17,23.5,-27.7
368,20200119,S08000028,,15 - 44,,All,d,All,d,6,6.5,-7.7
369,20200119,S08000028,,45 - 64,,All,d,All,d,23,15.5,48.4
370,20200119,S08000028,,65 - 74,,All,d,All,d,13,17,-23.5
371,20200119,S08000028,,75 - 84,,All,d,All,d,15,19,-21.1
372,20200119,S08000028,,85 and over,,All,d,All,d,10,12,-16.7
373,20200119,S08000028,,All ages,d,All,d,All,d,71,74.5,-4.7
374,20200119,S08000028,,All ages,d,Female,,All,d,31,35,-11.4
