id,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
522,20200126,S37000019,4,55,58.5,-6
523,20200126,S37000019,5,30,23,30.4
524,20200126,S37000020,1,172,193,-10.9
525,20200126,S37000020,2,65,80,-18.8
526,20200126,S37000020,3,46,49.5,-7.1
527,20200126,S37000020,4,40,39,2.6
528,20200126,S37000020,5,23,27,-14.8
529,20200126,S37000022,2,5,6.5,-23.1
530,20200126,S37000022,3,20,17,17.6
531,20200126,S37000022,4,28,21.5,30.2
532,20200126,S37000024,1,140,145,-3.4
533,20200126,S37000024,2,83,86,-3.5
534,20200126,S37000024,3,55,47,17
535,20200126,S37000024,4,30,48,-37.5
536,20200126,S37000024,5,25,37,-32.4
537,20200126,S37000025,1,20,20,0
538,20200126,S37000025,2,65,59.5,9.2
539,20200126,S37000025,3,80,110.5,-27.6
540,20200126,S37000025,4,79,71.5,10.5
541,20200126,S37000025,5,9,16.5,-45.5
542,20200126,S37000026,3,16,9,77.8
543,20200126,S37000026,4,36,31.5,14.3
544,20200126,S37000027,1,85,79.5,6.9
545,20200126,S37000027,2,69,77,-10.4
546,20200126,S37000027,3,57,56,1.8
547,20200126,S37000027,4,30,34.5,-13
548,20200126,S37000027,5,44,38,15.8
549,20200126,S37000028,1,192,208.5,-7.9
550,20200126,S37000028,2,188,224,-16.1
551,20200126,S37000028,3,130,121.5,7
552,20200126,S37000028,4,101,85,18.8
553,20200126,S37000028,5,65,48,35.4
554,20200126,S37000029,1,99,104.5,-5.3
555,20200126,S37000029,2,69,63.5,8.7
556,20200126,S37000029,3,40,40.5,-1.2
557,20200126,S37000029,4,22,20,10
558,20200126,S37000030,1,81,75,8
559,20200126,S37000030,2,95,114.5,-17
560,20200126,S37000030,3,86,86.5,-0.6
561,20200126,S37000030,4,53,45,17.8
562,20200126,S37000030,5,24,37,-35.1
563,20200126,S37000031,2,7,17.5,-60
564,20200126,S37000031,3,48,48.5,-1
565,20200126,S37000031,4,6,2.5,140
566,20200126,S37000032,1,220,238,-7.6
567,20200126,S37000032,2,200,198.5,0.8
568,20200126,S37000032,3,150,166.5,-9.9
569,20200126,S37000032,4,117,113.5,3.1
570,20200126,S37000032,5,106,99.5,6.5
571,20200126,S37000033,1,19,27,-29.6
572,20200126,S37000033,2,43,47.5,-9.5
573,20200126,S37000033,3,86,83,3.6
574,20200126,S37000033,4,88,94.5,-6.9
575,20200126,S37000033,5,33,46,-28.3
576,20200126,S37000034,1,808,844,-4.3
577,20200126,S37000034,2,196,207,-5.3
578,20200126,S37000034,3,111,125,-11.2
579,20200126,S37000034,4,82,85.5,-4.1
580,20200126,S37000034,5,47,62.5,-24.8
581,20200126,S37000035,1,305,308.5,-1.1
582,20200126,S37000035,2,210,229,-8.3
583,20200126,S37000035,3,119,110,8.2
584,20200126,S37000035,4,58,66.5,-12.8
585,20200126,S37000035,5,36,34,5.9
586,20200202,S37000001,1,47,60,-21.7
587,20200202,S37000001,2,103,127.5,-19.2
588,20200202,S37000001,3,66,79.5,-17
589,20200202,S37000001,4,68,63.5,7.1
590,20200202,S37000001,5,124,106.5,16.4
591,20200202,S37000002,1,21,15.5,35.5
592,20200202,S37000002,2,46,55.5,-17.1
593,20200202,S37000002,3,107,105,1.9
594,20200202,S37000002,4,162,152,6.6
595,20200202,S37000002,5,121,109,11
596,20200202,S37000003,1,31,25,24
597,20200202,S37000003,2,42,45.5,-7.7
598,20200202,S37000003,3,71,82,-13.4
599,20200202,S37000003,4,61,51.5,18.4
600,20200202,S37000003,5,30,28.5,5.3
601,20200202,S37000004,1,28,34.5,-18.8
602,20200202,S37000004,2,48,60,-20
603,20200202,S37000004,3,82,81,1.2
604,20200202,S37000004,4,33,50.5,-34.7
605,20200202,S37000004,5,17,7.5,126.7
606,20200202,S37000005,1,82,72.5,13.1
607,20200202,S37000005,2,69,69.5,-0.7
608,20200202,S37000005,3,44,43.5,1.1
609,20200202,S37000005,4,54,54.5,-0.9
610,20200202,S37000005,5,46,32.5,41.5
611,20200202,S37000006,1,32,42.5,-24.7
612,20200202,S37000006,2,128,125,2.4
613,20200202,S37000006,3,112,125.5,-10.8
614,20200202,S37000006,4,57,48,18.8
615,20200202,S37000006,5,23,24,-4.2
616,20200202,S37000007,1,155,156.5,-1
617,20200202,S37000007,2,90,85,5.9
618,20200202,S37000007,3,39,41,-4.9
619,20200202,S37000007,4,41,39,5.1
620,20200202,S37000007,5,33,26.5,24.5
621,20200202,S37000008,1,122,128.5,-5.1
