id,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
574,20200126,S37000030,3,254,221,14.9
575,20200126,S37000030,4,163,153,6.5
576,20200126,S37000030,5,107,128.5,-16.7
577,20200126,S37000031,2,25,30.5,-18
578,20200126,S37000031,3,81,69,17.4
579,20200126,S37000031,4,12,7.5,60
580,20200126,S37000032,1,417,408,2.2
581,20200126,S37000032,2,335,333,0.6
582,20200126,S37000032,3,267,259,3.1
583,20200126,S37000032,4,191,177.5,7.6
584,20200126,S37000032,5,165,168,-1.8
585,20200126,S37000033,1,45,45.5,-1.1
586,20200126,S37000033,2,83,74.5,11.4
587,20200126,S37000033,3,130,105.5,23.2
588,20200126,S37000033,4,170,182.5,-6.8
589,20200126,S37000033,5,72,71.5,0.7
590,20200126,S37000034,1,2009,1962.5,2.4
591,20200126,S37000034,2,545,542,0.6
592,20200126,S37000034,3,339,333,1.8
593,20200126,S37000034,4,234,255.5,-8.4
594,20200126,S37000034,5,195,225.5,-13.5
595,20200126,S37000035,1,927,881,5.2
596,20200126,S37000035,2,661,672,-1.6
597,20200126,S37000035,3,364,355.5,2.4
598,20200126,S37000035,4,212,240.5,-11.9
599,20200126,S37000035,5,108,137.5,-21.5
600,20200202,S37000001,1,113,121,-6.6
601,20200202,S37000001,2,231,230,0.4
602,20200202,S37000001,3,164,133.5,22.8
603,20200202,S37000001,4,145,146,-0.7
604,20200202,S37000001,5,277,258.5,7.2
605,20200202,S37000002,1,10,8,25
606,20200202,S37000002,2,33,33.5,-1.5
607,20200202,S37000002,3,69,91.5,-24.6
608,20200202,S37000002,4,200,176.5,13.3
609,20200202,S37000002,5,223,191,16.8
610,20200202,S37000003,1,23,16.5,39.4
611,20200202,S37000003,2,38,30.5,24.6
612,20200202,S37000003,3,84,60.5,38.8
613,20200202,S37000003,4,64,57,12.3
614,20200202,S37000003,5,32,38,-15.8
615,20200202,S37000004,1,15,17,-11.8
616,20200202,S37000004,2,38,35.5,7
617,20200202,S37000004,3,95,80.5,18
618,20200202,S37000004,4,48,67.5,-28.9
619,20200202,S37000004,5,18,15,20
620,20200202,S37000005,1,99,106,-6.6
621,20200202,S37000005,2,94,94,0
622,20200202,S37000005,3,66,62,6.5
623,20200202,S37000005,4,92,84.5,8.9
624,20200202,S37000005,5,63,53,18.9
