"id","date","ca","ca_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","positive_pillar1","positive_pillar2"
185,20200305,"S12000006","Dumfries and Galloway",0,0,0,0,0,0,0,6,58,39.11254973363,6,0,0,0,6,0,0,0
186,20200305,"S12000008","East Ayrshire",0,0,0,0,0,0,0,7,23,18.9144736842105,7,0,0,0,7,0,0,0
187,20200305,"S12000010","East Lothian",0,0,0,0,0,0,0,2,24,22.2428174235403,3,0,0,0,3,0,0,0
188,20200305,"S12000011","East Renfrewshire",0,0,0,0,0,0,0,5,20,20.8203206329377,8,0,0,0,8,0,0,0
189,20200305,"S12000013","Na h-Eileanan Siar",0,0,0,NA,0,0,0,0,2,7.54716981132075,2,0,0,NA,2,0,0,0
190,20200305,"S12000014","Falkirk",0,1,0.622820129546587,0.622820129546587,0,0,0,4,59,36.7463876432486,10,0,0,2.8169014084507,10,0,0,0
191,20200305,"S12000017","Highland",0,0,0,0,0,0,0,6,40,16.9901881663339,7,0,0,0,7,0,0,0
192,20200305,"S12000018","Inverclyde",0,0,0,0,0,0,0,3,17,22.0607318972229,6,0,0,0,6,0,0,0
193,20200305,"S12000019","Midlothian",0,0,0,0,0,0,0,0,25,26.8384326355341,0,0,0,0,0,0,0,0
194,20200305,"S12000020","Moray",0,2,2.08964580503605,2.08964580503605,0,0,0,0,16,16.7171664402884,6,1,16.6666666666667,17.6470588235294,6,0,1,0
195,20200305,"S12000021","North Ayrshire",0,1,0.74487895716946,0.74487895716946,0,0,0,4,35,26.0707635009311,5,0,0,5.26315789473684,5,0,0,0
196,20200305,"S12000023","Orkney Islands",0,0,0,0,0,0,0,0,5,22.3214285714286,0,0,0,0,0,0,0,0
197,20200305,"S12000026","Scottish Borders",0,0,0,0,0,0,0,1,31,26.9003818118709,1,0,0,0,1,0,0,0
198,20200305,"S12000027","Shetland Islands",0,0,0,NA,0,0,0,1,2,8.74508089199825,2,0,0,NA,2,0,0,0
199,20200305,"S12000028","South Ayrshire",0,0,0,0,0,0,0,4,19,16.9431068307473,5,0,0,0,5,0,0,0
200,20200305,"S12000029","South Lanarkshire",0,0,0,0,0,0,0,8,76,23.6892961785425,13,0,0,0,13,0,0,0
201,20200305,"S12000030","Stirling",0,0,0,0,0,0,0,2,34,36.1394557823129,4,0,0,0,4,0,0,0
202,20200305,"S12000033","Aberdeen City",0,1,0.436566838382956,0.436566838382956,0,0,0,1,47,20.518641403999,1,0,0,4.34782608695652,1,0,0,0
203,20200305,"S12000034","Aberdeenshire",0,1,0.383464989646445,0.383464989646445,0,0,0,4,47,18.0228545133829,8,1,12.5,6.45161290322581,8,0,1,0
204,20200305,"S12000035","Argyll and Bute",0,0,0,0,0,0,0,1,10,11.7054898747513,2,0,0,0,2,0,0,0
