year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-06-14,S08000030,45 - 64,All,All,241,295,-18.3
2020,2,2020-06-14,S08000030,65 - 74,All,All,151,221.5,-31.8
2020,2,2020-06-14,S08000030,75 - 84,All,All,203,238.5,-14.9
2020,2,2020-06-14,S08000030,85 and over,All,All,127,145,-12.4
2020,2,2020-06-14,S08000030,All ages,All,All,971,1284,-24.4
2020,2,2020-06-14,S08000030,All ages,Female,All,500,629.5,-20.6
2020,2,2020-06-14,S08000030,All ages,Male,All,458,651,-29.6
2020,2,2020-06-14,S08000031,Under 5,All,All,161,250,-35.6
2020,2,2020-06-14,S08000031,5 - 14,All,All,93,169.5,-45.1
2020,2,2020-06-14,S08000031,15 - 44,All,All,629,867,-27.5
2020,2,2020-06-14,S08000031,45 - 64,All,All,737,1096,-32.8
2020,2,2020-06-14,S08000031,65 - 74,All,All,439,669,-34.4
2020,2,2020-06-14,S08000031,75 - 84,All,All,436,673,-35.2
2020,2,2020-06-14,S08000031,85 and over,All,All,288,375.5,-23.3
2020,2,2020-06-14,S08000031,All ages,All,All,2783,4100,-32.1
2020,2,2020-06-14,S08000031,All ages,Female,All,1394,2040,-31.7
2020,2,2020-06-14,S08000031,All ages,Male,All,1343,2025,-33.7
2020,2,2020-06-14,S08000032,Under 5,All,All,123,167.5,-26.6
2020,2,2020-06-14,S08000032,5 - 14,All,All,28,58.5,-52.1
2020,2,2020-06-14,S08000032,15 - 44,All,All,290,350,-17.1
2020,2,2020-06-14,S08000032,45 - 64,All,All,381,438,-13
2020,2,2020-06-14,S08000032,65 - 74,All,All,229,257,-10.9
2020,2,2020-06-14,S08000032,75 - 84,All,All,231,265,-12.8
2020,2,2020-06-14,S08000032,85 and over,All,All,93,111.5,-16.6
2020,2,2020-06-14,S08000032,All ages,All,All,1375,1647.5,-16.5
2020,2,2020-06-14,S08000032,All ages,Female,All,670,784,-14.5
2020,2,2020-06-14,S08000032,All ages,Male,All,625,841,-25.7
2020,2,2020-06-14,S92000003,Under 5,All,All,605,1011,-40.2
2020,2,2020-06-14,S92000003,5 - 14,All,All,348,631,-44.8
2020,2,2020-06-14,S92000003,15 - 44,All,All,2437,3100,-21.4
2020,2,2020-06-14,S92000003,45 - 64,All,All,2887,3888.5,-25.8
2020,2,2020-06-14,S92000003,65 - 74,All,All,1934,2644,-26.9
2020,2,2020-06-14,S92000003,75 - 84,All,All,1984,2655.5,-25.3
2020,2,2020-06-14,S92000003,85 and over,All,All,1294,1489.5,-13.1
2020,2,2020-06-14,S92000003,All ages,All,All,11489,15419.5,-25.5
2020,2,2020-06-14,S92000003,All ages,Female,All,5666,7616.5,-25.6
2020,2,2020-06-14,S92000003,All ages,Male,All,5622,7629.5,-26.3
2020,2,2020-06-21,S08000015,Under 5,All,All,48,82.5,-41.8
2020,2,2020-06-21,S08000015,5 - 14,All,All,33,41,-19.5
2020,2,2020-06-21,S08000015,15 - 44,All,All,149,217.5,-31.5
2020,2,2020-06-21,S08000015,45 - 64,All,All,203,273.5,-25.8
2020,2,2020-06-21,S08000015,65 - 74,All,All,155,220,-29.5
2020,2,2020-06-21,S08000015,75 - 84,All,All,156,188.5,-17.2
2020,2,2020-06-21,S08000015,85 and over,All,All,83,99,-16.2
2020,2,2020-06-21,S08000015,All ages,All,All,827,1122,-26.3
2020,2,2020-06-21,S08000015,All ages,Female,All,422,561.5,-24.8
2020,2,2020-06-21,S08000015,All ages,Male,All,399,552.5,-27.8
2020,2,2020-06-21,S08000016,Under 5,All,All,6,17,-64.7
2020,2,2020-06-21,S08000016,5 - 14,All,All,6,12,-50
2020,2,2020-06-21,S08000016,15 - 44,All,All,25,26,-3.8
2020,2,2020-06-21,S08000016,45 - 64,All,All,35,50,-30
2020,2,2020-06-21,S08000016,65 - 74,All,All,44,52,-15.4
2020,2,2020-06-21,S08000016,75 - 84,All,All,45,64.5,-30.2
2020,2,2020-06-21,S08000016,85 and over,All,All,37,42.5,-12.9
2020,2,2020-06-21,S08000016,All ages,All,All,198,264,-25
2020,2,2020-06-21,S08000016,All ages,Female,All,104,126.5,-17.8
2020,2,2020-06-21,S08000016,All ages,Male,All,92,134,-31.3
2020,2,2020-06-21,S08000017,Under 5,All,All,19,29.5,-35.6
2020,2,2020-06-21,S08000017,5 - 14,All,All,10,21,-52.4
2020,2,2020-06-21,S08000017,15 - 44,All,All,44,76.5,-42.5
2020,2,2020-06-21,S08000017,45 - 64,All,All,81,88.5,-8.5
2020,2,2020-06-21,S08000017,65 - 74,All,All,63,74.5,-15.4
2020,2,2020-06-21,S08000017,75 - 84,All,All,81,89.5,-9.5
2020,2,2020-06-21,S08000017,85 and over,All,All,38,61.5,-38.2
2020,2,2020-06-21,S08000017,All ages,All,All,336,441,-23.8
2020,2,2020-06-21,S08000017,All ages,Female,All,163,218,-25.2
2020,2,2020-06-21,S08000017,All ages,Male,All,172,217.5,-20.9
2020,2,2020-06-21,S08000019,Under 5,All,All,26,80.5,-67.7
2020,2,2020-06-21,S08000019,5 - 14,All,All,28,50,-44
2020,2,2020-06-21,S08000019,15 - 44,All,All,150,239.5,-37.4
2020,2,2020-06-21,S08000019,45 - 64,All,All,174,261.5,-33.5
