year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-04-19,S08000032,Under 5,All,All,94,185.5,-49.3
2020,2,2020-04-19,S92000003,Under 5,All,All,510,1062.5,-52
2020,2,2020-04-26,S08000015,Under 5,All,All,35,84,-58.3
2020,2,2020-04-26,S08000016,Under 5,All,All,15,22,-31.8
2020,2,2020-04-26,S08000017,Under 5,All,All,21,34.5,-39.1
2020,2,2020-04-26,S08000019,Under 5,All,All,18,78.5,-77.1
2020,2,2020-04-26,S08000020,Under 5,All,All,41,84,-51.2
2020,2,2020-04-26,S08000022,Under 5,All,All,24,37.5,-36
2020,2,2020-04-26,S08000024,Under 5,All,All,70,138,-49.3
2020,2,2020-04-26,S08000029,Under 5,All,All,35,67.5,-48.1
2020,2,2020-04-26,S08000030,Under 5,All,All,45,83.5,-46.1
2020,2,2020-04-26,S08000031,Under 5,All,All,141,254,-44.5
2020,2,2020-04-26,S08000032,Under 5,All,All,124,171.5,-27.7
2020,2,2020-04-26,S92000003,Under 5,All,All,569,1059.5,-46.3
2020,2,2020-05-03,S08000015,Under 5,All,All,45,81,-44.4
2020,2,2020-05-03,S08000016,Under 5,All,All,11,15.5,-29
2020,2,2020-05-03,S08000017,Under 5,All,All,16,35.5,-54.9
2020,2,2020-05-03,S08000019,Under 5,All,All,22,80.5,-72.7
2020,2,2020-05-03,S08000020,Under 5,All,All,49,103.5,-52.7
2020,2,2020-05-03,S08000022,Under 5,All,All,37,45,-17.8
2020,2,2020-05-03,S08000024,Under 5,All,All,76,139,-45.3
2020,2,2020-05-03,S08000029,Under 5,All,All,29,62,-53.2
2020,2,2020-05-03,S08000030,Under 5,All,All,38,92,-58.7
2020,2,2020-05-03,S08000031,Under 5,All,All,145,266,-45.5
2020,3,2020-08-16,S08000017,Under 5,All,All,15,24,-37.5
2020,2,2020-05-10,S08000017,Under 5,All,All,18,27,-33.3
2020,2,2020-05-10,S08000019,Under 5,All,All,22,81,-72.8
2020,2,2020-05-10,S08000020,Under 5,All,All,61,98.5,-38.1
2020,2,2020-05-10,S08000022,Under 5,All,All,23,45,-48.9
2020,2,2020-05-10,S08000024,Under 5,All,All,62,136.5,-54.6
2020,2,2020-05-10,S08000029,Under 5,All,All,25,68.5,-63.5
2020,2,2020-05-10,S08000030,Under 5,All,All,36,77,-53.2
2020,2,2020-05-10,S08000031,Under 5,All,All,143,253.5,-43.6
2020,2,2020-05-10,S08000032,Under 5,All,All,119,166.5,-28.5
2020,2,2020-05-10,S92000003,Under 5,All,All,559,1065,-47.5
2020,2,2020-05-17,S08000015,Under 5,All,All,48,92.5,-48.1
