year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,4,2020-10-18,S37000022,15 - 44,All,25,33,-24.2
2020,4,2020-10-18,S37000022,45 - 64,All,18,23,-21.7
2020,4,2020-10-18,S37000022,65 - 74,All,10,16.5,-39.4
2020,4,2020-10-18,S37000022,75 - 84,All,11,14.5,-24.1
2020,4,2020-10-18,S37000022,85 and over,All,9,7.5,20
2021,1,2021-02-28,S37000013,15 - 44,All,161,283.5,-43.2
2021,1,2021-02-28,S37000013,45 - 64,All,127,178,-28.7
2021,1,2021-02-28,S37000013,65 - 74,All,56,81.5,-31.3
2021,1,2021-02-28,S37000013,75 - 84,All,50,66,-24.2
2021,1,2021-02-28,S37000013,85 and over,All,34,36,-5.6
2021,1,2021-02-28,S37000013,All ages,All,500,783.5,-36.2
2021,1,2021-02-28,S37000013,All ages,Female,251,368,-31.8
2021,1,2021-02-28,S37000013,All ages,Male,249,405.5,-38.6
2021,1,2021-02-28,S37000016,Under 5,All,45,65,-30.8
2021,1,2021-02-28,S37000016,5 - 14,All,38,82,-53.7
2021,1,2021-02-28,S37000016,15 - 44,All,256,332,-22.9
2021,1,2021-02-28,S37000016,45 - 64,All,169,202,-16.3
2021,1,2021-02-28,S37000016,65 - 74,All,78,98.5,-20.8
2021,1,2021-02-28,S37000016,75 - 84,All,69,79.5,-13.2
2020,4,2020-10-18,S37000025,5 - 14,All,23,39.5,-41.8
2020,4,2020-10-18,S37000025,15 - 44,All,139,180,-22.8
2020,4,2020-10-18,S37000025,45 - 64,All,110,139.5,-21.1
2020,4,2020-10-18,S37000025,65 - 74,All,57,83.5,-31.7
2020,4,2020-10-18,S37000025,75 - 84,All,52,64,-18.8
2020,4,2020-10-18,S37000025,85 and over,All,43,44,-2.3
2020,4,2020-10-18,S37000025,All ages,All,444,582,-23.7
2020,4,2020-10-18,S37000025,All ages,Female,210,287,-26.8
2020,4,2020-10-18,S37000025,All ages,Male,231,291,-20.6
2020,4,2020-10-18,S37000026,Under 5,All,7,17,-58.8
2020,4,2020-10-18,S37000026,5 - 14,All,7,7,0
2020,4,2020-10-18,S37000026,15 - 44,All,31,36,-13.9
2020,4,2020-10-18,S37000026,45 - 64,All,19,25.5,-25.5
2020,4,2020-10-18,S37000026,65 - 74,All,11,16.5,-33.3
2020,4,2020-10-18,S37000026,75 - 84,All,14,20.5,-31.7
2020,4,2020-10-18,S37000026,All ages,All,93,130,-28.5
2020,4,2020-10-18,S37000026,All ages,Female,38,66,-42.4
2020,4,2020-10-18,S37000026,All ages,Male,55,62.5,-12
2020,4,2020-10-18,S37000027,Under 5,All,26,54,-51.9
2020,4,2020-10-18,S37000027,5 - 14,All,45,46.5,-3.2
2020,4,2020-10-18,S37000027,15 - 44,All,121,206.5,-41.4
2020,4,2020-10-18,S37000027,45 - 64,All,106,149,-28.9
2020,4,2020-10-18,S37000027,65 - 74,All,51,60.5,-15.7
2020,4,2020-10-18,S37000027,75 - 84,All,44,68,-35.3
2020,4,2020-10-18,S37000027,85 and over,All,37,37.5,-1.3
2020,4,2020-10-18,S37000027,All ages,All,431,626,-31.2
2020,4,2020-10-18,S37000027,All ages,Female,205,296.5,-30.9
2020,4,2020-10-18,S37000027,All ages,Male,225,325.5,-30.9
2020,4,2020-10-18,S37000028,Under 5,All,95,143.5,-33.8
2020,4,2020-10-18,S37000028,5 - 14,All,106,121,-12.4
2020,4,2020-10-18,S37000028,15 - 44,All,489,625.5,-21.8
2020,4,2020-10-18,S37000028,45 - 64,All,390,458.5,-14.9
2020,4,2020-10-18,S37000028,65 - 74,All,192,217.5,-11.7
2020,4,2020-10-18,S37000028,75 - 84,All,153,199,-23.1
2020,4,2020-10-18,S37000028,85 and over,All,100,114.5,-12.7
2020,4,2020-10-18,S37000028,All ages,All,1532,1893,-19.1
2020,4,2020-10-18,S37000028,All ages,Female,766,956.5,-19.9
2020,4,2020-10-18,S37000028,All ages,Male,759,923,-17.8
2020,4,2020-10-18,S37000029,Under 5,All,17,64.5,-73.6
2020,4,2020-10-18,S37000029,5 - 14,All,28,27.5,1.8
2020,4,2020-10-18,S37000029,15 - 44,All,104,145,-28.3
2020,4,2020-10-18,S37000029,45 - 64,All,49,72.5,-32.4
2020,4,2020-10-18,S37000029,65 - 74,All,30,32,-6.2
2020,4,2020-10-18,S37000029,75 - 84,All,18,22,-18.2
