year,quarter,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-26,S37000008,5,19,21,-9.5
2020,1,2020-01-26,S37000009,1,13,12.5,4
2020,1,2020-01-26,S37000009,2,38,49.5,-23.2
2020,1,2020-01-26,S37000009,3,15,11,36.4
2020,1,2020-01-26,S37000009,4,36,33,9.1
2020,1,2020-01-26,S37000009,5,76,74.5,2
2020,1,2020-01-26,S37000010,1,6,8,-25
2020,1,2020-01-26,S37000010,2,68,51,33.3
2020,1,2020-01-26,S37000010,3,47,45.5,3.3
2020,1,2020-01-26,S37000010,4,52,50.5,3
2020,1,2020-01-26,S37000010,5,12,17.5,-31.4
