date,ca,ca_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,positive_pillar1,positive_pillar2
2020-03-04,S12000033,Aberdeen City,1,1,0.43656683838295646,NA,0,0,0,2,46,20.082074565615997,3,1,33.33333333333333,NA,3,0,1,0
2020-03-04,S12000034,Aberdeenshire,0,1,0.3834649896464453,NA,0,0,0,2,43,16.48899455479715,2,0,0,NA,2,0,0,0
2020-03-04,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,1,9,10.534940887276132,1,0,0,NA,1,0,0,0
2020-03-04,S12000036,City of Edinburgh,1,1,0.18953034380804368,NA,0,0,0,19,174,32.978279822599596,25,1,4,NA,25,0,1,0
2020-03-04,S12000038,Renfrewshire,0,0,0,NA,0,0,0,6,35,19.510563576565023,10,0,0,NA,10,0,0,0
2020-03-04,S12000039,West Dunbartonshire,0,1,1.131990038487661,NA,0,0,0,6,25,28.29975096219153,11,0,0,NA,11,0,0,0
2020-03-04,S12000040,West Lothian,0,0,0,NA,0,0,0,2,43,23.39244913502339,2,0,0,NA,2,0,0,0
2020-03-04,S12000041,Angus,0,1,0.8634087376964255,NA,0,0,0,3,32,27.629079606285615,3,0,0,NA,3,0,0,0
2020-03-04,S12000042,Dundee City,0,0,0,NA,0,0,0,2,26,17.47077005778793,6,0,0,NA,6,0,0,0
2020-03-04,S12000045,East Dunbartonshire,0,0,0,NA,0,0,0,3,23,21.149425287356323,8,0,0,NA,8,0,0,0
2020-03-04,S12000047,Fife,2,2,0.5345735439553096,NA,0,0,0,1,83,22.18480207414535,3,2,66.66666666666666,NA,3,0,2,0
2020-03-04,S12000048,Perth and Kinross,0,0,0,NA,0,0,0,4,35,23.039957869791323,11,0,0,NA,11,0,0,0
2020-03-04,S12000049,Glasgow City,0,0,0,NA,0,0,0,35,174,27.373985274683783,53,0,0,NA,53,0,0,0
2020-03-04,S12000050,North Lanarkshire,0,0,0,NA,0,0,0,7,60,17.588087002403707,13,0,0,NA,13,0,0,0
2020-03-05,S12000005,Clackmannanshire,0,2,3.8993955936829794,3.8993955936829794,0,0,0,4,24,46.79274712419575,4,0,0,12.903225806451612,4,0,0,0
2020-03-05,S12000006,Dumfries and Galloway,0,0,0,0,0,0,0,6,58,39.11254973363005,6,0,0,0,6,0,0,0
2020-03-05,S12000008,East Ayrshire,0,0,0,0,0,0,0,7,23,18.914473684210527,7,0,0,0,7,0,0,0
2020-03-05,S12000010,East Lothian,0,0,0,0,0,0,0,2,24,22.242817423540313,3,0,0,0,3,0,0,0
2020-03-05,S12000011,East Renfrewshire,0,0,0,0,0,0,0,5,20,20.820320632937747,8,0,0,0,8,0,0,0
2020-03-05,S12000013,Na h-Eileanan Siar,0,0,0,NA,0,0,0,0,2,7.547169811320755,2,0,0,NA,2,0,0,0
2020-03-05,S12000014,Falkirk,0,1,0.6228201295465869,0.6228201295465869,0,0,0,4,59,36.74638764324863,10,0,0,2.8169014084507045,10,0,0,0
2020-03-05,S12000017,Highland,0,0,0,0,0,0,0,6,40,16.990188166333944,7,0,0,0,7,0,0,0
2020-03-05,S12000018,Inverclyde,0,0,0,0,0,0,0,3,17,22.060731897222944,6,0,0,0,6,0,0,0
2020-03-05,S12000019,Midlothian,0,0,0,0,0,0,0,0,25,26.838432635534083,0,0,0,0,0,0,0,0
2020-03-05,S12000020,Moray,0,2,2.0896458050360462,2.0896458050360462,0,0,0,0,16,16.71716644028837,6,1,16.666666666666664,17.647058823529413,6,0,1,0
2020-03-05,S12000021,North Ayrshire,0,1,0.74487895716946,0.74487895716946,0,0,0,4,35,26.070763500931097,5,0,0,5.263157894736842,5,0,0,0
2020-03-05,S12000023,Orkney Islands,0,0,0,0,0,0,0,0,5,22.32142857142857,0,0,0,0,0,0,0,0
2020-03-05,S12000026,Scottish Borders,0,0,0,0,0,0,0,1,31,26.900381811870876,1,0,0,0,1,0,0,0
2020-03-05,S12000027,Shetland Islands,0,0,0,NA,0,0,0,1,2,8.745080891998251,2,0,0,NA,2,0,0,0
2020-03-05,S12000028,South Ayrshire,0,0,0,0,0,0,0,4,19,16.94310683074728,5,0,0,0,5,0,0,0
2020-03-05,S12000029,South Lanarkshire,0,0,0,0,0,0,0,8,76,23.689296178542484,13,0,0,0,13,0,0,0
2020-03-05,S12000030,Stirling,0,0,0,0,0,0,0,2,34,36.13945578231292,4,0,0,0,4,0,0,0
2020-03-05,S12000033,Aberdeen City,0,1,0.43656683838295646,0.43656683838295646,0,0,0,1,47,20.518641403998952,1,0,0,4.3478260869565215,1,0,0,0
2020-03-05,S12000034,Aberdeenshire,0,1,0.3834649896464453,0.3834649896464453,0,0,0,4,47,18.022854513382928,8,1,12.5,6.451612903225806,8,0,1,0
