year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-02-02,S08000017,3,All,150,173.5,-13.5
2020,1,2020-02-02,S08000017,4,All,59,64,-7.8
2020,1,2020-02-02,S08000017,5,All,35,31,12.9
2020,1,2020-02-02,S08000019,1,All,190,318,-40.3
2020,1,2020-02-02,S08000019,2,All,193,317,-39.1
2020,1,2020-02-02,S08000019,3,All,153,283,-45.9
2020,1,2020-02-02,S08000019,4,All,138,266,-48.1
2020,1,2020-02-02,S08000019,5,All,111,173,-35.8
2020,1,2020-02-02,S08000020,1,All,105,101.5,3.4
2020,1,2020-02-02,S08000020,2,All,255,267,-4.5
2020,1,2020-02-02,S08000020,3,All,317,285.5,11
2020,1,2020-02-02,S08000020,4,All,386,354.5,8.9
2020,1,2020-02-02,S08000020,5,All,308,313,-1.6
2020,1,2020-02-02,S08000022,1,All,106,99,7.1
2020,1,2020-02-02,S08000022,2,All,156,154,1.3
2020,1,2020-02-02,S08000022,3,All,270,299.5,-9.8
2020,1,2020-02-02,S08000022,4,All,181,198,-8.6
2020,1,2020-02-02,S08000022,5,All,48,50,-4
2020,1,2020-02-02,S08000024,1,All,368,375,-1.9
2020,1,2020-02-02,S08000024,2,All,647,567,14.1
2020,1,2020-02-02,S08000024,3,All,415,403.5,2.9
2020,1,2020-02-02,S08000024,4,All,405,369,9.8
2020,1,2020-02-02,S08000024,5,All,568,483.5,17.5
2020,1,2020-02-02,S08000025,2,All,5,6,-16.7
2020,1,2020-02-02,S08000025,3,All,12,8,50
2020,1,2020-02-02,S08000025,4,All,20,25,-20
2020,1,2020-02-02,S08000026,2,All,5,2.5,100
2020,1,2020-02-02,S08000026,3,All,16,22,-27.3
2020,1,2020-02-02,S08000026,4,All,16,22,-27.3
2020,1,2020-02-02,S08000028,2,All,14,14.5,-3.4
2020,1,2020-02-02,S08000028,3,All,62,71,-12.7
2020,1,2020-02-02,S08000029,1,All,242,251.5,-3.8
2020,1,2020-02-02,S08000029,2,All,241,235,2.6
2020,1,2020-02-02,S08000029,3,All,189,182.5,3.6
2020,1,2020-02-02,S08000029,4,All,160,135,18.5
2020,1,2020-02-02,S08000029,5,All,109,113.5,-4
2020,1,2020-02-02,S08000030,1,All,266,267,-0.4
2020,1,2020-02-02,S08000030,2,All,231,239.5,-3.5
2020,1,2020-02-02,S08000030,3,All,273,252.5,8.1
2020,1,2020-02-02,S08000030,4,All,307,308.5,-0.5
2020,1,2020-02-02,S08000030,5,All,216,213.5,1.2
2020,1,2020-02-02,S08000031,1,All,1677,1652,1.5
2020,1,2020-02-02,S08000031,2,All,840,843.5,-0.4
2020,1,2020-02-02,S08000031,3,All,543,579,-6.2
2020,1,2020-02-02,S08000031,4,All,521,502.5,3.7
2020,1,2020-02-02,S08000031,5,All,588,588.5,-0.1
2020,1,2020-02-02,S08000032,1,All,621,587,5.8
2020,1,2020-02-02,S08000032,2,All,493,482.5,2.2
2020,1,2020-02-02,S08000032,3,All,303,321,-5.6
2020,1,2020-02-02,S08000032,4,All,237,237,0
2020,1,2020-02-02,S08000032,5,All,157,156.5,0.3
2020,1,2020-02-02,S92000003,1,All,4040,4169,-3.1
2020,1,2020-02-02,S92000003,2,All,3512,3597.5,-2.4
2020,1,2020-02-02,S92000003,3,All,2980,3163,-5.8
2020,1,2020-02-02,S92000003,4,All,2635,2666,-1.2
2020,1,2020-02-02,S92000003,5,All,2255,2255,0
2020,1,2020-02-09,S08000015,1,All,358,418.5,-14.5
2020,1,2020-02-09,S08000015,2,All,258,284,-9.2
2020,1,2020-02-09,S08000015,3,All,162,189,-14.3
2020,1,2020-02-09,S08000015,4,All,122,147,-17
2020,1,2020-02-09,S08000015,5,All,99,114,-13.2
2020,1,2020-02-09,S08000016,1,All,24,22.5,6.7
2020,1,2020-02-09,S08000016,2,All,52,60,-13.3
2020,1,2020-02-09,S08000016,3,All,93,126.5,-26.5
2020,1,2020-02-09,S08000016,4,All,74,63.5,16.5
2020,1,2020-02-09,S08000016,5,All,12,19.5,-38.5
2020,1,2020-02-09,S08000017,1,All,39,55.5,-29.7
2020,1,2020-02-09,S08000017,2,All,106,123,-13.8
2020,1,2020-02-09,S08000017,3,All,145,184.5,-21.4
2020,1,2020-02-09,S08000017,4,All,64,65,-1.5
2020,1,2020-02-09,S08000017,5,All,34,35,-2.9
2020,1,2020-02-09,S08000019,1,All,187,296,-36.8
2020,1,2020-02-09,S08000019,2,All,197,341.5,-42.3
2020,1,2020-02-09,S08000019,3,All,145,291,-50.2
2020,1,2020-02-09,S08000019,4,All,114,223,-48.9
2020,1,2020-02-09,S08000019,5,All,106,190,-44.2
2020,1,2020-02-09,S08000020,1,All,87,104,-16.3
