date,country,sex,age_group,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
2020-03-07,S92000003,Female,0 to 14,0,0,0,0,0,0,152,36.267414920700816
2020-03-07,S92000003,Female,0 to 59,2,9,0.44147056789302286,0,0,0,670,32.86503116536948
2020-03-07,S92000003,Female,15 to 19,0,0,0,0,0,0,21,15.226990929063977
2020-03-07,S92000003,Female,20 to 24,0,2,1.187274788813497,0,0,0,69,40.96098021406564
2020-03-07,S92000003,Female,25 to 44,0,3,0.41501582593682906,0,0,0,218,30.157816684742908
2020-03-07,S92000003,Female,45 to 64,2,4,0.5180206431226284,0,0,0,274,35.484414053900046
2020-03-07,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,195,25.585615373412217
2020-03-07,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,87,28.447734644763003
2020-03-07,S92000003,Female,75 to 84,0,0,0,0,0,0,26,13.539551111805446
2020-03-07,S92000003,Female,85plus,0,0,0,0,0,0,18,21.83803457688808
2020-03-07,S92000003,Female,Total,2,10,0.3570423752172603,0,0,0,865,30.884165456293015
2020-03-07,S92000003,Male,0 to 14,0,0,0,0,0,0,192,43.5689308138994
2020-03-07,S92000003,Male,0 to 59,3,15,0.7430487786754908,0,0,0,698,34.57653650103284
2020-03-07,S92000003,Male,15 to 19,0,0,0,0,0,0,23,15.94929511050088
2020-03-07,S92000003,Male,20 to 24,0,0,0,0,0,0,39,22.504068043069324
2020-03-07,S92000003,Male,25 to 44,2,8,1.1292401202076108,0,0,0,232,32.747963486020716
2020-03-07,S92000003,Male,45 to 64,1,7,0.9684828025125212,0,0,0,270,37.35576523976867
2020-03-07,S92000003,Male,60+,1,2,0.3093571249586235,0,0,0,194,30.00764112098648
2020-03-07,S92000003,Male,65 to 74,1,2,0.7131675694179482,0,0,0,85,30.3096217002628
2020-03-07,S92000003,Male,75 to 84,0,0,0,0,0,0,40,26.760148786427255
2020-03-07,S92000003,Male,85plus,0,0,0,0,0,0,11,23.97245347164713
2020-03-07,S92000003,Male,Total,4,17,0.6378479460545727,0,0,0,892,33.46825693415758
2020-03-07,S92000003,Total,0 to 14,0,0,0,0,0,0,344,40.009769827516024
